geometry,address
POINT (4.8320114 45.7578137),"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France"
POINT (101.7508255478764 3.1584459),"Ampang Point, Bukit Antarabangsa, Majlis Perbandaran Ampang Jaya, Selangor, Malaysia"
POINT (78.6677428 22.3511148),India
POINT (-0.1276474 51.5073219),"London, Greater London, England, United Kingdom"
POINT (115.8604796 -31.9527121),"Perth, City of Perth, Western Australia, 6000, Australia"
POINT (24.991639 -28.8166236),South Africa
POINT (4.8936041 52.3727598),"Amsterdam, Noord-Holland, Nederland"
POINT (7.5878261 47.5581077),"Basel, Basel-Stadt, Switzerland"
POINT (32.7059948 39.7160439),"Ankara, İç Anadolu Bölgesi, Türkiye"
POINT (78.6677428 22.3511148),India
POINT (-4.8380649 39.3262345),España
POINT (108.4265113 13.2904027),Việt Nam
POINT (139.7594549 35.6828387),"東京都, 日本 (Japan)"
POINT (-74.0760439 4.59808),"Bogotá, Bogotá Distrito Capital, 110321, Colombia"
POINT (-73.61036420000001 45.4972159),"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
POINT (-77.03655809999999 38.8949924),"Washington, District of Columbia, 20230, United States of America"
POINT (102.2656823 4.5693754),Malaysia
POINT (-75.23266409999999 43.1009031),"Utica, Oneida County, New York, 13503, United States of America"
POINT (31.2718321 49.4871968),Україна
POINT (-77.03655809999999 38.8949924),"Washington, District of Columbia, 20230, United States of America"
POINT (-71.0582912 42.3602534),"Boston, Suffolk County, Massachusetts, United States of America"
POINT (26.9450844 60.4674228),"Kotka, Kotkan–Haminan seutukunta, Kymenlaakso, Manner-Suomi, Suomi"
POINT (78.6677428 22.3511148),India
POINT (-111.7632755 34.395342),"Arizona, United States of America"
POINT (34.9249653 38.9597594),Türkiye
POINT (-122.6741949 45.5202471),"Portland, Metro, Multnomah County, Oregon, United States of America"
POINT (10.4234469 51.0834196),Deutschland
POINT (-99.1331785 19.4326296),"Ciudad de México, México"
POINT (18.417396 -33.928992),"Cape Town, City of Cape Town, Western Cape, 8001, South Africa"
POINT (4.8936041 52.3727598),"Amsterdam, Noord-Holland, Nederland"
POINT (-113.507996 53.535411),"Edmonton, Alberta, Canada"
POINT (37.6174943 55.7504461),"Москва, Центральный административный округ, Москва, Центральный федеральный округ, Россия"
POINT (-98.58218720000001 38.27312),"Kansas, United States of America"
POINT (-68.13362290000001 -16.4955455),"La Paz, Pedro Domingo Murillo, La Paz, Bolivia"
POINT (-81.69344460000001 41.5051613),"Cleveland, Cuyahoga County, Ohio, United States of America"
POINT (-118.7559974 36.7014631),"California, United States of America"
POINT (15.4749544 49.8167003),Česko
POINT (24.9425769 60.1674098),"Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, Suomi"
POINT (-118.7559974 36.7014631),"California, United States of America"
POINT (12.674297 42.6384261),Italia
POINT (14.4212535 50.0874654),"Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika"
