geometry,address,Lat,Lng,index_right,CONTINENT
POINT (71.247499 30.3308401),پاکستان,30.3308401,71.247499,0.0,Asia
POINT (31.2718321 49.4871968),Україна,49.4871968,31.2718321,2.0,Europe
POINT (-87.6244212 41.8755616),"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212,1.0,North America
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (105.8544441 21.0294498),"Hà Nội, Việt Nam",21.029449800000002,105.85444409999998,0.0,Asia
POINT (12.5755471 53.7735064),"Mecklenburg-Vorpommern, Marktplatz, Bahnhof, Teschower Siedlung, Teterow, Landkreis Rostock, Mecklenburg-Vorpommern, 17166, Deutschland",53.7735064,12.5755471,2.0,Europe
POINT (19.8451756 45.2551338),"Нови Сад, Град Нови Сад, Јужнобачки управни округ, Војводина, 21000, Србија (Serbia)",45.255133799999996,19.8451756,2.0,Europe
POINT (18.6452324 54.347629),"Gdańsk, Aglomeracja Trójmiasta, województwo pomorskie, Polska",54.347629000000005,18.645232399999998,2.0,Europe
POINT (121.3163428 14.0609907),"Malaga, Teomora Village Phase 4, San Gabriel, San Pablo, Calabarzon, 4000, Philippines",14.060990700000001,121.3163428,0.0,Asia
POINT (44.63344879670701 40.2803081),"Abovyan Border, Աբովյանի շրջան, Կոտայքի մարզ, Armenia",40.2803081,44.63344879670702,0.0,Asia
POINT (7.9999721 9.6000359),Nigeria,9.6000359,7.999972099999999,3.0,Africa
POINT (144.9631608 -37.8142176),"Melbourne, City of Melbourne, Victoria, 3000, Australia",-37.814217600000006,144.9631608,6.0,Australia
POINT (3.3941795 6.4550575),"Lagos, Lagos Island, Lagos, 100242, Nigeria",6.4550575,3.3941795,3.0,Africa
POINT (-3.2765753 54.7023545),United Kingdom,54.702354500000006,-3.2765752999999997,2.0,Europe
POINT (-17.447938 14.693425),"Dakar, 2084, Sénégal",14.693425,-17.447938,3.0,Africa
POINT (51.4013785 35.7006177),"شهر تهران, فرهنگسرای شفق, بخش مرکزی شهرستان تهران, شهرستان تهران, استان تهران, ایران",35.7006177,51.4013785,0.0,Asia
POINT (-74.0760439 4.59808),"Bogotá, Bogotá Distrito Capital, 110321, Colombia",4.59808,-74.0760439,4.0,South America
POINT (17.7578122 11.5024338),Africa,11.5024338,17.7578122,3.0,Africa
POINT (4.8320114 45.7578137),"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France",45.75781370000001,4.8320114,2.0,Europe
POINT (101.7508255478764 3.1584459),"Ampang Point, Bukit Antarabangsa, Majlis Perbandaran Ampang Jaya, Selangor, Malaysia",3.1584459000000003,101.75082554787643,0.0,Asia
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (-0.1276474 51.5073219),"London, Greater London, England, United Kingdom",51.5073219,-0.1276474,2.0,Europe
POINT (115.8604796 -31.9527121),"Perth, City of Perth, Western Australia, 6000, Australia",-31.952712100000003,115.86047959999999,6.0,Australia
POINT (24.991639 -28.8166236),South Africa,-28.816623600000003,24.991639000000003,3.0,Africa
POINT (4.8936041 52.3727598),"Amsterdam, Noord-Holland, Nederland",52.3727598,4.8936041,2.0,Europe
POINT (7.5878261 47.5581077),"Basel, Basel-Stadt, Switzerland",47.55810770000001,7.5878261,2.0,Europe
POINT (32.7059948 39.7160439),"Ankara, İç Anadolu Bölgesi, Türkiye",39.7160439,32.705994800000006,0.0,Asia
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (-4.8380649 39.3262345),España,39.3262345,-4.838064900000001,2.0,Europe
POINT (108.4265113 13.2904027),Việt Nam,13.2904027,108.42651129999999,0.0,Asia
POINT (139.7594549 35.6828387),"東京都, 日本 (Japan)",35.682838700000005,139.7594549,0.0,Asia
POINT (-74.0760439 4.59808),"Bogotá, Bogotá Distrito Capital, 110321, Colombia",4.59808,-74.0760439,4.0,South America
POINT (-73.61036420000001 45.4972159),"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.61036419999999,1.0,North America
POINT (-77.03655809999999 38.8949924),"Washington, District of Columbia, 20230, United States of America",38.8949924,-77.0365581,1.0,North America
POINT (102.2656823 4.5693754),Malaysia,4.5693754,102.2656823,0.0,Asia
POINT (-75.23266409999999 43.1009031),"Utica, Oneida County, New York, 13503, United States of America",43.100903100000004,-75.2326641,1.0,North America
POINT (31.2718321 49.4871968),Україна,49.4871968,31.2718321,2.0,Europe
POINT (-77.03655809999999 38.8949924),"Washington, District of Columbia, 20230, United States of America",38.8949924,-77.0365581,1.0,North America
POINT (-71.0582912 42.3602534),"Boston, Suffolk County, Massachusetts, United States of America",42.3602534,-71.0582912,1.0,North America
POINT (26.9450844 60.4674228),"Kotka, Kotkan–Haminan seutukunta, Kymenlaakso, Manner-Suomi, Suomi",60.4674228,26.9450844,,Europe
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (-111.7632755 34.395342),"Arizona, United States of America",34.395342,-111.76327549999999,1.0,North America
POINT (34.9249653 38.9597594),Türkiye,38.959759399999996,34.9249653,0.0,Asia
POINT (-122.6741949 45.5202471),"Portland, Metro, Multnomah County, Oregon, United States of America",45.5202471,-122.6741949,1.0,North America
POINT (10.4234469 51.0834196),Deutschland,51.0834196,10.4234469,2.0,Europe
POINT (-99.1331785 19.4326296),"Ciudad de México, México",19.4326296,-99.1331785,1.0,North America
POINT (18.417396 -33.928992),"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",-33.928992,18.417396,3.0,Africa
POINT (4.8936041 52.3727598),"Amsterdam, Noord-Holland, Nederland",52.3727598,4.8936041,2.0,Europe
POINT (-113.507996 53.535411),"Edmonton, Alberta, Canada",53.535410999999996,-113.50799599999999,1.0,North America
POINT (37.6174943 55.7504461),"Москва, Центральный административный округ, Москва, Центральный федеральный округ, Россия",55.7504461,37.6174943,2.0,Europe
POINT (-98.58218720000001 38.27312),"Kansas, United States of America",38.27312,-98.58218719999999,1.0,North America
POINT (-68.13362290000001 -16.4955455),"La Paz, Pedro Domingo Murillo, La Paz, Bolivia",-16.4955455,-68.1336229,4.0,South America
POINT (-81.69344460000001 41.5051613),"Cleveland, Cuyahoga County, Ohio, United States of America",41.5051613,-81.6934446,1.0,North America
POINT (-118.7559974 36.7014631),"California, United States of America",36.7014631,-118.75599740000001,1.0,North America
POINT (15.4749544 49.8167003),Česko,49.816700299999994,15.4749544,2.0,Europe
POINT (24.9425769 60.1674098),"Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, Suomi",60.1674098,24.9425769,2.0,Europe
POINT (-118.7559974 36.7014631),"California, United States of America",36.7014631,-118.75599740000001,1.0,North America
POINT (12.674297 42.6384261),Italia,42.6384261,12.674297,2.0,Europe
POINT (14.4212535 50.0874654),"Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika",50.0874654,14.4212535,2.0,Europe
POINT (-99.1331785 19.4326296),"Ciudad de México, México",19.4326296,-99.1331785,1.0,North America
POINT (19.0404707 47.4983815),"Budapest, Közép-Magyarország, 1011, Magyarország",47.4983815,19.0404707,2.0,Europe
POINT (-77.1598454610168 18.1152958),"Jamaica, Spanish Town, Saint Catherine, Middlesex County, Jamaika",18.115295800000002,-77.1598454610168,1.0,North America
POINT (-78.4766781 38.029306),"Charlottesville, Virginia, United States of America",38.029306,-78.4766781,1.0,North America
POINT (-121.4943996 38.5815719),"Sacramento, Sacramento County, California, United States of America",38.5815719,-121.49439960000001,1.0,North America
POINT (115.8604796 -31.9527121),"Perth, City of Perth, Western Australia, 6000, Australia",-31.952712100000003,115.86047959999999,6.0,Australia
POINT (14.4212535 50.0874654),"Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika",50.0874654,14.4212535,2.0,Europe
POINT (10.77572919405189 59.97239745),"Oslo, Norge",59.97239745,10.775729194051898,2.0,Europe
POINT (-77.0047276 40.2101972),"Mechanicsburg, Cumberland County, Pennsylvania, United States of America",40.2101972,-77.0047276,1.0,North America
POINT (90.4126466 23.810651),"ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 1229, Bangladesh",23.810651,90.41264659999999,0.0,Asia
POINT (78.46106473453146 17.38878595),"Hyderabad, Telangana, India",17.38878595,78.46106473453145,0.0,Asia
POINT (115.8604796 -31.9527121),"Perth, City of Perth, Western Australia, 6000, Australia",-31.952712100000003,115.86047959999999,6.0,Australia
POINT (-77.03655809999999 38.8949924),"Washington, District of Columbia, 20230, United States of America",38.8949924,-77.0365581,1.0,North America
POINT (-89.3837613 43.074761),"Madison, Dane, Wisconsin, United States of America",43.074760999999995,-89.3837613,1.0,North America
POINT (-72.7237063 41.6978777),"Newington, Hartford County, Connecticut, United States of America",41.6978777,-72.7237063,1.0,North America
POINT (-100.4458825 39.7837304),United States,39.7837304,-100.4458825,1.0,North America
POINT (-77.0365256 -12.0621065),"Lima, Peru",-12.0621065,-77.03652559999999,4.0,South America
POINT (103.8303918221208 1.340863),"Singapore, Central, Singapore",1.340863,103.8303918221208,0.0,Asia
POINT (-71.00127464149776 42.67774685000001),"Boxford, Essex County, Massachusetts, 01921, United States of America",42.67774685000001,-71.00127464149776,1.0,North America
POINT (-63.5859487 44.648618),"Halifax, Nova Scotia, Canada",44.648618,-63.58594870000001,1.0,North America
POINT (80.2838331 13.0801721),"சென்னை - Chennai, சென்னை மாவட்டம், Tamil Nadu, India",13.080172099999999,80.2838331,0.0,Asia
POINT (-97.06473219999999 33.1540091),"Corinth, Denton County, Texas, 76210, United States of America",33.1540091,-97.06473220000001,1.0,North America
POINT (-74.4660408 40.5462553),"Piscataway, Middlesex County, New Jersey, 08854, United States of America",40.5462553,-74.46604079999999,1.0,North America
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (-74.0760439 4.59808),"Bogotá, Bogotá Distrito Capital, 110321, Colombia",4.59808,-74.0760439,4.0,South America
POINT (108.4265113 13.2904027),Việt Nam,13.2904027,108.42651129999999,0.0,Asia
POINT (-75.690308 45.421106),"Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada",45.421106,-75.690308,1.0,North America
POINT (-68.9640875031406 12.1845),"Curaçao, Nederland",12.1845,-68.9640875031406,1.0,North America
POINT (-75.08758735000001 39.94236755),"East Coast, Marlton Pike, Marlton, Camden, Camden County, New Jersey, 08105, United States of America",39.94236755,-75.08758735,1.0,North America
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (15.21075531909385 52.73057555),"Gorzów Wielkopolski, województwo lubuskie, Polska",52.73057555,15.210755319093852,2.0,Europe
POINT (104.999927 35.000074),中国,35.000074,104.999927,0.0,Asia
POINT (-43.2093727 -22.9110137),"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.911013699999998,-43.2093727,4.0,South America
POINT (9.180013199999999 48.7784485),"Stuttgart, Baden-Württemberg, 70173, Deutschland",48.778448499999996,9.1800132,2.0,Europe
POINT (-73.71457460000001 41.0409305),"Purchase, Town of Harrison, Westchester County, New York, 10577, United States of America",41.0409305,-73.71457459999999,1.0,North America
POINT (-81.41278418563017 28.5479786),"Orlando, FL, John Young Parkway, Orlando, Orange County, Florida, 32805-1100, United States of America",28.5479786,-81.41278418563017,1.0,North America
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (4.48110886662043 52.1518157),"Leiden, Zuid-Holland, Nederland",52.1518157,4.4811088666204295,2.0,Europe
POINT (-95.9383758 41.2587459),"Omaha, Douglas County, Nebraska, United States of America",41.258745899999994,-95.93837579999999,1.0,North America
POINT (-75.7106204 45.4283596),"Gatineau, Gatineau (ville), Outaouais, Québec, Canada",45.4283596,-75.7106204,1.0,North America
POINT (39.1653612 21.5810088),"جدة, منطقة مكة المكرمة, 23443, Saudi Arabia / السعودية",21.581008800000003,39.1653612,0.0,Asia
POINT (-112.0741417 33.4484367),"Phoenix, Maricopa County, Arizona, United States of America",33.448436699999995,-112.07414170000001,1.0,North America
POINT (-74.00601519999999 40.7127281),"New York, United States of America",40.7127281,-74.0060152,1.0,North America
POINT (-79.1262839 40.6424116),"Indiana County, Pennsylvania, United States of America",40.6424116,-79.1262839,1.0,North America
POINT (-1.6442556 42.8184538),"Pamplona/Iruña, Navarra - Nafarroa, España",42.81845379999999,-1.6442556000000002,2.0,Europe
POINT (-122.3300624 47.6038321),"Seattle, King County, Washington, United States of America",47.6038321,-122.3300624,1.0,North America
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (-72.5095725 42.5621053),"Montague, Franklin County, Massachusetts, United States of America",42.5621053,-72.5095725,1.0,North America
POINT (103.8303918221208 1.340863),"Singapore, Central, Singapore",1.340863,103.8303918221208,0.0,Asia
POINT (-73.96968219999999 41.504879),"Beacon, Dutchess County, New York, 12508, United States of America",41.504878999999995,-73.96968220000001,1.0,North America
POINT (-78.4927721 37.1232245),"Virginia, United States of America",37.1232245,-78.4927721,1.0,North America
POINT (-83.4832262 42.4310806),"Northville, Wayne County, Michigan, 48167, United States of America",42.4310806,-83.4832262,1.0,North America
POINT (12.5700724 55.6867243),"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark",55.6867243,12.5700724,2.0,Europe
POINT (12.5700724 55.6867243),"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark",55.6867243,12.5700724,2.0,Europe
POINT (-3.7035825 40.4167047),"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.416704700000004,-3.7035824999999996,2.0,Europe
POINT (-73.78389199999999 2.8894434),Colombia,2.8894433999999998,-73.78389200000001,4.0,South America
POINT (-81.4639835 27.7567667),"Florida, United States of America",27.7567667,-81.4639835,1.0,North America
POINT (-77.0946459 38.9848265),"Bethesda, Montgomery County, Maryland, 22814, United States of America",38.984826500000004,-77.0946459,1.0,North America
POINT (-77.03655809999999 38.8949924),"Washington, District of Columbia, 20230, United States of America",38.8949924,-77.0365581,1.0,North America
POINT (-53.2 -10.3333333),Brasil,-10.333333300000001,-53.2,4.0,South America
POINT (-81.2496068 42.9836747),"London, Southwestern Ontario, Ontario, N6A 1G4, Canada",42.9836747,-81.2496068,1.0,North America
POINT (1.8883335 46.603354),France,46.603353999999996,1.8883334999999999,2.0,Europe
POINT (-72.2125789 41.6362097),"Lebanon, New London County, Connecticut, 06249, United States of America",41.6362097,-72.21257890000001,1.0,North America
POINT (-99.17012240115315 18.88638935),"Jiutepec, Morelos, México",18.88638935,-99.17012240115317,1.0,North America
POINT (-70.6504451 -33.4377968),"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.4377968,-70.65044509999998,4.0,South America
POINT (-105.0668085 40.5508527),"Fort Collins, Larimer County, Colorado, United States of America",40.5508527,-105.0668085,1.0,North America
POINT (-86.1583502 39.7683331),"Indianapolis, Marion, Indiana, United States of America",39.7683331,-86.1583502,1.0,North America
POINT (-46.6333824 -23.5506507),"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",-23.5506507,-46.633382399999995,4.0,South America
POINT (-86.1583502 39.7683331),"Indianapolis, Marion, Indiana, United States of America",39.7683331,-86.1583502,1.0,North America
POINT (-87.6244212 41.8755616),"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212,1.0,North America
POINT (172.8344077 -41.5000831),New Zealand / Aotearoa,-41.5000831,172.83440769999999,5.0,Oceania
POINT (114.0543297 22.555454),"深圳市, 广东省, China 中国",22.555454,114.0543297,0.0,Asia
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (-4.8380649 39.3262345),España,39.3262345,-4.838064900000001,2.0,Europe
POINT (127.6961188 36.638392),대한민국,36.638391999999996,127.69611880000001,0.0,Asia
POINT (-0.1276474 51.5073219),"London, Greater London, England, United Kingdom",51.5073219,-0.1276474,2.0,Europe
POINT (-114.4755475 51.1851768),"Angles, Grande Boulevard, Glenbow, Cochrane, Town of Cochrane, Alberta, T4C 0W5, Canada",51.1851768,-114.4755475,1.0,North America
POINT (77.20900570000001 28.6138954),"New Delhi, Delhi, India",28.613895399999997,77.2090057,0.0,Asia
POINT (72.8353355 18.9387711),"Mumbai, Mumbai City, Maharashtra, India",18.9387711,72.8353355,0.0,Asia
POINT (90.4126466 23.810651),"ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 1229, Bangladesh",23.810651,90.41264659999999,0.0,Asia
POINT (-97.1413417 33.1838787),"Denton County, Texas, United States of America",33.1838787,-97.1413417,1.0,North America
POINT (-10.797788 6.328034),"Monrovia, Greater Monrovia, Montserrado County, 231, Liberia",6.328034,-10.797788,3.0,Africa
